Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR
NCR: National Capital Region,2016,,95.92,95.92,95.92,83.37,88.33,78.7,55.32,63.06,47.9,52.9
CAR: Cordillera Administrative Region,2016,,97.24,97.24,97.24,78.72,85.5,72.37,40.16,49.0,31.85,94.0
Region 1: Ilocos Region,2016,,94.84,94.84,94.84,84.85,89.18,80.86,51.11,58.42,44.4,44.8
Region 2: Cagayan Valley,2016,,100.26,100.26,100.26,78.97,84.53,73.82,43.41,51.07,36.37,100.0
Region 3: Central Luzon,2016,,98.53,98.53,98.53,82.78,87.52,78.39,47.96,54.35,42.01,59.0
Region 4A: CALABARZON,2016,,97.2,97.2,97.2,81.41,86.46,76.69,45.61,52.07,39.51,99.8
MIMAROPA: Southwestern Tagalog Region,2016,,94.98,94.98,94.98,73.48,79.26,68.1,35.09,41.66,28.95,82.0
Region 5: Bicol Region,2016,,95.77,95.77,95.77,72.78,79.33,66.68,28.35,34.98,22.19,91.0
Region 6: Western Visayas,2016,,99.09,99.09,99.09,74.2,80.81,68.02,32.54,40.11,25.49,25.1
Region 7: Central Visayas,2016,,101.55,101.55,101.55,76.58,83.73,69.9,35.9,44.43,27.91,100.0
Region 8: Eastern Visayas,2016,,94.0,94.0,94.0,70.89,77.28,64.9,28.15,34.79,21.95,100.0
Region 9: Zamboanga Peninsula,2016,,91.24,91.24,91.24,62.18,69.02,55.73,23.92,29.84,18.34,100.0
Region 10: Northern Mindanao,2016,,96.57,96.57,96.57,65.08,71.11,59.33,28.97,36.0,22.33,100.0
Region 11: Davao Region,2016,,100.06,100.06,100.06,70.57,77.38,64.16,30.11,37.03,23.54,100.0
Region 12: SOCCSKSARGEN,2016,,93.3,93.3,93.3,65.0,71.36,58.99,26.9,33.12,21.02,100.0
CARAGA: Cordillera Administrative Region,2016,,97.85,97.85,97.85,71.07,76.97,65.5,28.04,34.25,22.25,74.4
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,,77.29,77.29,77.29,32.03,38.09,26.05,6.02,8.08,3.98,12.5
PHILIPPINES,2017,,94.19,94.19,94.19,75.99,81.42,70.88,46.12,53.48,39.2,
NCR: National Capital Region,2017,,92.83,92.83,92.83,84.76,89.56,80.22,62.74,70.11,55.67,
CAR: Cordillera Administrative Region,2017,,94.37,94.37,94.37,79.77,85.57,74.31,49.55,59.45,40.26,
Region 1: Ilocos Region,2017,,92.5,92.5,92.5,85.56,89.64,81.77,60.39,68.15,53.26,
Region 2: Cagayan Valley,2017,,98.45,98.45,98.45,80.89,86.24,75.91,51.49,59.56,44.08,
Region 3: Central Luzon,2017,,97.91,97.91,97.91,82.84,87.46,78.54,55.99,62.7,49.75,
Region 4A: CALABARZON,2017,,96.31,96.31,96.31,82.51,87.21,78.09,53.9,60.55,47.62,
MIMAROPA: Southwestern Tagalog Region,2017,,92.33,92.33,92.33,75.71,81.04,70.72,43.27,50.67,36.37,
Region 5: Bicol Region,2017,,93.56,93.56,93.56,75.88,81.86,70.27,39.63,47.68,32.16,
Region 6: Western Visayas,2017,,97.16,97.16,97.16,76.41,82.66,70.54,44.17,52.77,36.17,
Region 7: Central Visayas,2017,,98.41,98.41,98.41,78.51,85.53,71.91,47.21,57.06,37.99,
Region 8: Eastern Visayas,2017,,92.64,92.64,92.64,74.21,80.55,68.24,38.02,45.87,30.7,
Region 9: Zamboanga Peninsula,2017,,90.3,90.3,90.3,65.44,71.71,59.49,30.4,37.34,23.87,
Region 10: Northern Mindanao,2017,,96.43,96.43,96.43,68.09,73.86,62.55,37.31,45.29,29.78,
Region 11: Davao Region,2017,,96.88,96.88,96.88,74.27,80.6,68.28,38.26,45.8,31.09,
Region 12: SOCCSKSARGEN,2017,,91.86,91.86,91.86,68.08,74.2,62.26,35.84,42.84,29.22,
CARAGA: Cordillera Administrative Region,2017,,95.89,95.89,95.89,74.54,79.83,69.5,38.11,45.02,31.67,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,,72.63,72.63,72.63,30.37,35.62,25.18,8.7,11.24,6.19,
PHILIPPINES,2018,16.7,94.05,94.05,94.05,81.41,85.82,77.24,51.24,58.72,44.21,
NCR: National Capital Region,2018,2.2,92.11,92.11,92.11,88.74,92.64,85.04,68.63,76.42,61.17,76.5
CAR: Cordillera Administrative Region,2018,12.0,92.24,92.24,92.24,83.64,88.13,79.4,53.64,63.31,44.61,97.5
Region 1: Ilocos Region,2018,9.9,90.48,90.48,90.48,87.81,90.68,85.14,64.06,71.24,57.48,100.0
Region 2: Cagayan Valley,2018,16.3,96.86,96.86,96.86,84.76,89.01,80.78,56.21,64.13,48.96,100.0
Region 3: Central Luzon,2018,7.0,98.77,98.77,98.77,85.01,88.83,81.44,60.19,66.35,54.46,99.3
Region 4A: CALABARZON,2018,7.1,97.36,97.36,97.36,86.38,89.97,83.01,58.33,65.05,52.0,100.0
MIMAROPA: Southwestern Tagalog Region,2018,15.1,90.99,90.99,90.99,79.74,83.95,75.79,48.14,55.51,41.29,100.0
Region 5: Bicol Region,2018,27.0,93.12,93.12,93.12,82.97,87.51,78.71,45.8,54.49,37.74,93.3
Region 6: Western Visayas,2018,16.3,97.38,97.38,97.38,84.54,89.21,80.14,49.74,58.72,41.38,20.2
Region 7: Central Visayas,2018,17.7,98.17,98.17,98.17,87.64,93.34,82.27,53.28,63.24,43.97,87.5
Region 8: Eastern Visayas,2018,30.7,91.53,91.53,91.53,79.27,84.51,74.33,43.2,51.2,35.74,59.5
Region 9: Zamboanga Peninsula,2018,32.7,91.24,91.24,91.24,73.88,79.2,68.79,36.04,43.56,28.98,45.3
Region 10: Northern Mindanao,2018,23.1,97.73,97.73,97.73,75.27,79.85,70.83,41.87,49.74,34.42,85.7
Region 11: Davao Region,2018,19.1,95.61,95.61,95.61,82.25,87.76,77.01,45.74,53.9,37.99,100.0
Region 12: SOCCSKSARGEN,2018,28.2,92.04,92.04,92.04,74.49,80.14,69.11,41.5,48.58,34.83,100.0
CARAGA: Cordillera Administrative Region,2018,30.5,94.74,94.74,94.74,80.7,84.84,76.74,44.36,51.42,37.76,76.9
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,61.8,73.24,73.24,73.24,35.76,41.36,30.22,11.04,14.05,8.06,53.7
PHILIPPINES,2019,,93.96,93.96,93.96,82.89,87.2,78.8,47.76,55.34,40.65,
NCR: National Capital Region,2019,,89.91,89.91,89.91,89.68,93.47,86.06,62.28,70.0,54.93,
CAR: Cordillera Administrative Region,2019,,91.4,91.4,91.4,84.76,88.9,80.81,50.53,60.28,41.46,
Region 1: Ilocos Region,2019,,89.99,89.99,89.99,89.85,92.83,87.06,61.54,69.23,54.5,
Region 2: Cagayan Valley,2019,,97.17,97.17,97.17,88.81,93.13,84.75,56.46,65.2,48.45,
Region 3: Central Luzon,2019,,100.03,100.03,100.03,87.69,91.57,84.04,58.03,64.94,51.62,
Region 4A: CALABARZON,2019,,98.23,98.23,98.23,87.85,91.62,84.29,54.79,61.84,48.16,
MIMAROPA: Southwestern Tagalog Region,2019,,90.26,90.26,90.26,81.12,85.31,77.19,46.0,53.52,39.02,
Region 5: Bicol Region,2019,,92.68,92.68,92.68,82.27,86.59,78.18,42.31,50.91,34.35,
Region 6: Western Visayas,2019,,97.25,97.25,97.25,85.68,89.96,81.63,44.22,52.66,36.34,
Region 7: Central Visayas,2019,,98.07,98.07,98.07,88.52,93.97,83.37,47.81,57.12,39.12,
Region 8: Eastern Visayas,2019,,91.6,91.6,91.6,80.05,84.85,75.5,42.08,50.92,33.84,
Region 9: Zamboanga Peninsula,2019,,91.7,91.7,91.7,74.24,79.54,69.13,34.43,42.28,27.06,
Region 10: Northern Mindanao,2019,,99.23,99.23,99.23,76.75,81.13,72.47,38.05,45.48,31.02,
Region 11: Davao Region,2019,,93.87,93.87,93.87,85.44,90.98,80.15,41.53,49.67,33.81,
Region 12: SOCCSKSARGEN,2019,,92.24,92.24,92.24,75.89,81.29,70.7,37.45,44.41,30.88,
CARAGA: Cordillera Administrative Region,2019,,94.84,94.84,94.84,82.2,85.99,78.54,40.77,47.7,34.27,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,,71.51,71.51,71.51,36.48,41.96,31.07,10.59,13.73,7.49,
PHILIPPINES,2020,,89.1064,89.1064,89.1064,81.4869,85.5003,77.6557,49.48,57.4119,42.0505,
NCR: National Capital Region,2020,,81.1478,81.1478,81.1478,85.1646,88.9647,81.5199,56.4435,63.8118,49.4413,82.4
CAR: Cordillera Administrative Region,2020,,87.5276,87.5276,87.5276,84.9372,88.1383,81.866,52.8763,63.109,43.3977,79.5
Region 1: Ilocos Region,2020,,86.2185,86.2185,86.2185,90.1031,92.3834,87.9661,65.6379,73.2342,58.7108,74.4
Region 2: Cagayan Valley,2020,,93.6348,93.6348,93.6348,93.4367,97.0227,90.0406,61.4433,70.8277,52.8585,49.0
Region 3: Central Luzon,2020,,95.4067,95.4067,95.4067,86.0948,89.9462,82.4587,60.0165,67.5813,53.02,100.0
Region 4A: CALABARZON,2020,,91.9912,91.9912,91.9912,84.4897,88.3569,80.833,54.7999,61.8488,48.1915,100.0
MIMAROPA: Southwestern Tagalog Region,2020,,86.2074,86.2074,86.2074,80.7633,84.9722,76.7903,50.2024,57.9633,42.9974,100.0
Region 5: Bicol Region,2020,,87.2573,87.2573,87.2573,75.087,79.4398,70.953,43.518,52.4657,35.2324,57.5
Region 6: Western Visayas,2020,,93.9281,93.9281,93.9281,87.906,91.3535,84.6275,48.2144,57.4538,39.5905,99.3
Region 7: Central Visayas,2020,,92.9937,92.9937,92.9937,85.4465,90.4341,80.7059,49.7072,59.3148,40.75496,94.1
Region 8: Eastern Visayas,2020,,89.0772,89.0772,89.0772,81.609,85.861,77.576,48.2067,58.1079,38.9889,81.9
Region 9: Zamboanga Peninsula,2020,,89.1941,89.1941,89.1941,74.8405,79.4786,70.346,38.4532,47.0045,30.4406,94.6
Region 10: Northern Mindanao,2020,,97.0819,97.0819,97.0819,76.5254,80.1995,72.9159,41.2193,49.2934,33.5733,86.7
Region 11: Davao Region,2020,,86.266,86.266,86.266,81.6703,86.9362,76.6309,43.2965,51.6846,35.3535,88.9
Region 12: SOCCSKSARGEN,2020,,88.7282,88.7282,88.7282,77.2258,82.0809,72.5433,40.54,48.3148,33.2122,100.0
CARAGA: Cordillera Administrative Region,2020,,92.0358,92.0358,92.0358,84.3796,87.2908,81.5504,46.1723,53.9758,38.816,100.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,,69.1673,69.1673,69.1673,37.1877,42.8858,31.543,12.7783,16.1742,9.428,60.9
NCR: National Capital Region,2021,,,,,,,,,,,100.0
CAR: Cordillera Administrative Region,2021,,,,,,,,,,,61.5
Region 1: Ilocos Region,2021,,,,,,,,,,,76.7
Region 2: Cagayan Valley,2021,,,,,,,,,,,55.1
Region 3: Central Luzon,2021,,,,,,,,,,,100.0
Region 4A: CALABARZON,2021,,,,,,,,,,,74.8
MIMAROPA: Southwestern Tagalog Region,2021,,,,,,,,,,,100.0
Region 5: Bicol Region,2021,,,,,,,,,,,56.7
Region 6: Western Visayas,2021,,,,,,,,,,,100.0
Region 7: Central Visayas,2021,,,,,,,,,,,100.0
Region 8: Eastern Visayas,2021,,,,,,,,,,,83.9
Region 9: Zamboanga Peninsula,2021,,,,,,,,,,,96.0
Region 10: Northern Mindanao,2021,,,,,,,,,,,96.9
Region 11: Davao Region,2021,,,,,,,,,,,100.0
Region 12: SOCCSKSARGEN,2021,,,,,,,,,,,100.0
CARAGA: Cordillera Administrative Region,2021,,,,,,,,,,,93.6
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2021,,,,,,,,,,,13.0
